,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
67,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,1,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1
68,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1
69,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1
70,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1
71,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
72,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
73,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
74,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
75,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
76,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
77,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,0,1
78,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
79,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
80,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
81,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
82,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
83,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
84,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,1
85,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,0,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1
86,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1
87,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1
88,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1
89,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0,1,2,1,0,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1
